Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,39.610001,39.980000,38.630001,39.810001,39.184914,127200
2022-06-28,40.070000,40.630001,39.320000,39.340000,38.722290,146100
2022-06-29,39.430000,39.430000,38.720001,39.009998,38.397472,117100
2022-06-30,38.520000,39.650002,37.830002,39.650002,39.027428,155000
2022-07-01,39.419998,40.310001,39.340000,40.230000,39.598316,72500
2022-07-05,39.759998,40.009998,38.950001,39.930000,39.303032,76600
2022-07-06,40.080002,40.220001,39.200001,39.540001,38.919151,72100
2022-07-07,39.740002,40.349998,39.740002,39.939999,39.312870,56300
2022-07-08,39.900002,40.180000,39.580002,39.980000,39.352245,50000
2022-07-11,39.790001,40.099998,39.250000,39.369999,38.751820,47100
2022-07-12,39.250000,39.759998,39.090000,39.169998,38.554958,66100
2022-07-13,39.000000,39.340000,38.680000,39.080002,38.466373,70200
2022-07-14,38.549999,39.689999,38.450001,39.320000,38.702610,60400
2022-07-15,39.980000,40.869999,39.669998,40.389999,39.755802,65800
2022-07-18,40.849998,41.009998,39.439999,39.599998,38.978210,47800
2022-07-19,40.130001,41.209999,40.130001,41.110001,40.464497,73100
2022-07-20,40.980000,41.490002,40.669998,41.250000,40.602303,64900
2022-07-21,41.169998,42.520000,40.889999,42.520000,41.852360,60600
2022-07-22,42.580002,42.889999,41.990002,42.540001,41.872047,50200
2022-07-25,42.529999,43.169998,42.150002,42.910000,42.236237,205700
2022-07-26,42.910000,43.669998,42.810001,43.669998,42.984299,94100
2022-07-27,44.060001,44.520000,43.220001,44.049999,43.358337,112900
2022-07-28,39.009998,39.689999,35.240002,36.840000,36.261547,358500
2022-07-29,36.779999,36.840000,34.700001,36.279999,35.710339,250100
2022-08-01,35.939999,37.959999,35.540001,37.700001,37.108040,224600
2022-08-02,37.840000,40.380001,37.500000,38.660000,38.052967,233700
2022-08-03,38.650002,38.700001,35.810001,36.000000,35.434738,189700
2022-08-04,36.160000,36.369999,34.220001,34.240002,33.702374,143900
2022-08-05,34.540001,36.810001,34.320000,36.680000,36.223610,184500
2022-08-08,37.130001,37.650002,35.740002,35.820000,35.374306,164900
2022-08-09,36.200001,36.410000,35.639999,36.380001,35.927338,72600
2022-08-10,37.009998,38.930000,36.959999,38.520000,38.040714,108400
2022-08-11,38.720001,39.130001,37.860001,38.040001,37.566689,85700
2022-08-12,38.400002,40.060001,38.310001,39.849998,39.354160,87000
2022-08-15,40.500000,41.509998,40.200001,41.029999,40.519482,175100
2022-08-16,40.580002,41.389999,40.410000,40.630001,40.124454,124700
2022-08-17,40.400002,40.910000,40.029999,40.630001,40.124454,127200
2022-08-18,40.369999,40.840000,40.049999,40.410000,39.907196,69600
2022-08-19,40.150002,40.680000,39.689999,40.180000,39.680058,118500
2022-08-22,39.639999,39.660000,37.930000,38.270000,37.793823,105000
2022-08-23,38.220001,39.150002,38.220001,38.770000,38.287601,71600
2022-08-24,38.509998,39.099998,38.130001,38.560001,38.080215,70100
2022-08-25,38.910000,38.910000,38.110001,38.380001,37.902454,47000
2022-08-26,38.029999,38.360001,37.430000,37.520000,37.053158,87900
2022-08-29,37.099998,37.299999,36.660000,37.009998,36.549500,64600
2022-08-30,37.130001,37.130001,36.380001,36.430000,35.976719,113600
2022-08-31,36.650002,36.869999,35.040001,35.410000,34.969406,204800
2022-09-01,35.200001,36.180000,35.070000,35.660000,35.216293,92500
2022-09-02,36.209999,36.320000,35.410000,35.680000,35.236046,70700
2022-09-06,35.950001,35.950001,34.840000,35.270000,34.831154,74500
2022-09-07,35.349998,35.669998,34.810001,35.610001,35.166920,63700
2022-09-08,35.400002,35.400002,34.639999,34.900002,34.465755,63500
2022-09-09,35.310001,35.630001,34.779999,35.450001,35.008911,54600
2022-09-12,35.639999,36.590000,35.320000,36.279999,35.828583,103200
2022-09-13,35.680000,35.950001,34.799999,35.020000,34.584263,80300
2022-09-14,35.009998,35.009998,34.090000,34.560001,34.129986,98600
2022-09-15,34.330002,34.939999,34.189999,34.410000,33.981850,81800
2022-09-16,34.119999,34.160000,32.790001,34.090000,33.665833,211900
2022-09-19,33.779999,34.320000,33.400002,33.779999,33.359688,65000
2022-09-20,33.419998,33.790001,32.500000,33.070000,32.658524,116800
2022-09-21,33.080002,33.990002,32.529999,32.650002,32.243752,93400
2022-09-22,32.570000,32.570000,31.379999,31.770000,31.374701,118500
2022-09-23,31.290001,31.290001,30.450001,30.990000,30.604404,112500
2022-09-26,30.770000,31.760000,30.770000,31.209999,30.821665,133800
2022-09-27,31.420000,32.270000,31.010000,31.580000,31.187063,154000
2022-09-28,31.870001,33.150002,31.680000,32.840000,32.431385,122600
2022-09-29,32.410000,32.410000,31.360001,32.119999,31.720343,89600
2022-09-30,32.080002,33.240002,32.040001,32.160000,31.759846,124300
2022-10-03,32.619999,33.910000,32.000000,33.570000,33.152302,107300
2022-10-04,33.740002,34.630001,33.740002,34.160000,33.734959,242900
2022-10-05,33.849998,34.320000,33.480000,33.590000,33.172054,104600
2022-10-06,33.480000,33.790001,33.150002,33.310001,32.895538,92500
2022-10-07,33.000000,33.000000,31.650000,32.230000,31.828976,95900
2022-10-10,32.060001,33.200001,32.060001,32.779999,32.372128,63800
2022-10-11,32.869999,33.230000,31.920000,32.389999,31.986986,100900
2022-10-12,32.419998,32.720001,31.740000,31.790001,31.394451,113000
2022-10-13,31.219999,32.070000,31.000000,31.490000,31.098183,161200
2022-10-14,31.700001,31.820000,30.879999,30.940001,30.555025,108600
2022-10-17,31.459999,32.000000,31.459999,31.690001,31.295694,110700
2022-10-18,32.169998,32.919998,31.980000,32.500000,32.095619,144600
2022-10-19,32.169998,32.660000,31.250000,31.469999,31.078430,86500
2022-10-20,31.570000,31.830000,30.680000,30.760000,30.377268,97000
2022-10-21,30.740000,31.030001,29.969999,30.690001,30.308136,103000
2022-10-24,31.000000,31.129999,30.400000,30.760000,30.377268,89300
2022-10-25,30.549999,31.740000,30.450001,31.469999,31.078430,61900
2022-10-26,31.660000,32.669998,31.559999,32.070000,31.670965,143200
2022-10-27,28.299999,28.370001,23.350000,23.400000,23.108843,514100
2022-10-28,23.580000,24.520000,22.709999,24.299999,23.997644,282500
2022-10-31,24.559999,24.770000,23.590000,24.410000,24.106276,177200
2022-11-01,24.719999,24.719999,23.400000,23.879999,23.582869,169700
2022-11-02,24.059999,25.120001,23.770000,24.129999,23.829758,296000
2022-11-03,24.059999,24.219999,23.309999,23.480000,23.187847,153400
2022-11-04,23.670000,24.049999,22.760000,24.000000,23.815994,182600
2022-11-07,24.010000,24.860001,23.610001,24.809999,24.619783,136900
2022-11-08,24.860001,26.600000,24.860001,26.139999,25.939587,218900
2022-11-09,25.790001,25.820000,24.400000,24.430000,24.242699,124700
2022-11-10,25.510000,26.309999,25.299999,25.959999,25.760967,107200
2022-11-11,26.010000,26.010000,25.070000,25.400000,25.205261,113900
2022-11-14,25.350000,25.650000,24.780001,24.830000,24.639631,63700
2022-11-15,25.270000,25.590000,24.879999,25.290001,25.096106,58800
2022-11-16,25.250000,25.250000,24.540001,24.740000,24.550320,109600
2022-11-17,24.540001,25.150000,24.500000,24.790001,24.599939,53900
2022-11-18,25.209999,25.209999,23.910000,24.070000,23.885458,79400
2022-11-21,24.150000,24.209999,23.410000,23.879999,23.696913,85500
2022-11-22,23.980000,24.309999,23.660000,23.950001,23.766380,54900
2022-11-23,24.030001,24.360001,23.820000,24.139999,23.954920,48900
2022-11-25,24.020000,24.639999,23.910000,24.209999,24.024385,51100
2022-11-28,24.200001,24.209999,23.650000,23.940001,23.756456,84500
2022-11-29,24.020000,24.170000,23.600000,23.690001,23.508373,74000
2022-11-30,23.700001,25.200001,22.860001,25.150000,24.957176,145100
2022-12-01,25.139999,25.200001,23.750000,24.790001,24.599939,169000
2022-12-02,24.830000,25.740000,24.260000,25.010000,24.818251,143900
2022-12-05,25.010000,25.139999,24.280001,24.520000,24.332008,120300
2022-12-06,24.510000,24.559999,24.150000,24.520000,24.332008,102100
2022-12-07,24.459999,25.190001,24.440001,25.040001,24.848022,137600
2022-12-08,25.040001,25.270000,24.170000,24.440001,24.252623,88400
2022-12-09,24.400000,25.240000,24.180000,24.520000,24.332008,67900
2022-12-12,24.480000,24.480000,24.030001,24.209999,24.024385,77900
2022-12-13,25.110001,26.790001,25.040001,26.350000,26.147978,275400
2022-12-14,26.290001,26.900000,25.629999,25.870001,25.671658,184800
2022-12-15,25.639999,26.049999,25.049999,25.820000,25.622042,153600
2022-12-16,25.780001,27.840000,25.760000,27.610001,27.398319,340700
2022-12-19,27.510000,27.510000,26.480000,26.650000,26.445677,157900
2022-12-20,26.490000,27.290001,26.150000,26.959999,26.753300,176700
2022-12-21,26.950001,27.680000,26.950001,27.170000,26.961691,134100
2022-12-22,26.950001,27.299999,26.430000,27.299999,27.090693,89400
2022-12-23,27.000000,27.709999,27.000000,27.469999,27.259390,87700
2022-12-27,27.510000,27.510000,26.850000,27.139999,26.931919,52900
2022-12-28,27.190001,27.719999,27.100000,27.200001,26.991461,135800
2022-12-29,27.180000,27.700001,27.010000,27.629999,27.418163,75700
2022-12-30,27.540001,27.889999,27.350000,27.540001,27.328854,85900
2023-01-03,27.600000,28.620001,27.600000,28.559999,28.341032,161600
2023-01-04,28.719999,29.330000,28.559999,29.129999,28.906664,82700
2023-01-05,29.070000,29.150000,28.350000,28.940001,28.718121,139000
2023-01-06,29.260000,30.299999,29.080000,30.030001,29.799765,67400
2023-01-09,30.090000,30.320000,29.250000,29.270000,29.045591,82500
2023-01-10,29.000000,30.290001,29.000000,30.230000,29.998230,62800
2023-01-11,30.330000,30.750000,30.059999,30.360001,30.127234,58100
2023-01-12,30.719999,30.719999,30.059999,30.209999,29.978382,68600
2023-01-13,30.080000,30.440001,29.799999,30.270000,30.037924,74700
2023-01-17,30.330000,31.240000,30.330000,30.559999,30.325699,77600
2023-01-18,30.760000,30.900000,30.059999,30.110001,29.879150,54000
2023-01-19,29.760000,30.480000,29.510000,30.370001,30.137157,52400
